SR,Township,Case
 Yangon Region,Insein Township," 3, 6, 34, 35, 36, 37, 38, 40, 54, 55, 56, 58, 59, 61, 72, 73, 84, 93, 94"
 Yangon Region,South Okkalapa Township," 21, 22, 44, 47, 48, 49, 50, 51, 52, 89, 90, 91, 102"
 Yangon Region,Bahan Township," 8, 11, 12, 13, 15, 25, 28, 41, 42, 46, 71, 79"
 Yangon Region,Mayangone Township," 24, 43, 45, 62, 69, 70, 86, 98, 105, 108"
 Yangon Region,Pabedan Township," 39, 65, 66, 67, 68, 95"
 Sagaing Region,Kale Township," 74, 88, 114, 115, 116, 117"
 Chin State,Tedim Township," 1, 23, 31, 78, 113"
 Yangon Region,Hlaingtharya Township," 26, 63, 80, 81, 111"
 Bago Region,Paukkhaung Township," 17, 18, 19, 20"
 Yangon Region,Botahtaung Township," 2, 106, 110"
 Bago Region,Pyay Township," 30, 118, 119"
 Yangon Region,Shwepyithar," 33, 57, 60"
 Yangon Region,Mingalartaungnyunt Township," 5, 10"
 Yangon Region,Mingaladon Township," 9, 97"
 Yangon Region,North Okkalapa Township," 16, 75"
 Shan State (South),Taunggyi Township," 29, 121"
 Yangon Region,Sanchaung Township," 77, 92"
 Shan State (East),Tachileik Township," 96, 112"
 Yangon Region,Dawbon Township," 99, 100"
 Yangon Region,Dagon Myothit (North) Township," 101, 107"
 Mandalay Region,Chanmyathazi Township, 4
 Naypyitaw,Za Bu Thi Ri Township, 7
 Shan State (North),Kyaukme Township, 14
 Mon State,Kyaikmaraw Township, 27
 Yangon Region,Hlegu Township, 32
 Magway Region,Myothit Township, 53
 Shan State (East),Monghpyak Township, 64
 Yangon Region,Ahlone Township, 76
 Mandalay Region,Aungmyaythazan Township, 82
 Yangon Region,Pazundaung Township, 83
 Yangon Region,Dagon Myothit (South) Township, 85
 Yangon Region,Tamwe Township, 87
 Yangon Region,Thingangyun Township, 109
 Yangon Region,Lanmadaw Township, 103
 Yangon Region,Kamaryut Township, 104
 Yangon Region,Dagon Myothit (East) Township, 120
